number,value,datetime_start,datetime_complete,duration,params_a_0,params_a_1,params_a_2,params_a_3,params_a_4,params_a_5,params_a_6,params_u_dc_0,params_u_dc_1,params_u_dc_2,params_u_dc_3,params_u_dc_4,params_u_dc_5,params_u_dc_6,state
624,0.7202664129400571,2025-12-03 04:54:44.847266,2025-12-03 05:46:24.561277,0 days 00:51:39.714011,0.7841527794633854,0.6318341462136712,1.9069648994980253,-0.07798207566442775,0.32096534723736014,0.23461356601508687,1.5605196473532794,0.05696677635635707,0.14254608779865385,0.9281145816357123,0.42488982568207984,0.2422196658306405,0.5078901632415395,0.09383793620386618,COMPLETE
625,0.527592768791627,2025-12-03 05:46:24.907366,2025-12-03 06:38:06.811087,0 days 00:51:41.903721,1.3838647358544272,0.3163211043361148,-0.9763787027772157,0.25873446945995787,0.21236379264418823,0.04036186311278786,1.5197972211952355,0.11563223582629292,0.6273301745011872,0.9129161690656593,0.3733359436998391,0.27883620371475554,0.6469685214512294,0.025489895029330023,COMPLETE
626,0.7278782112274025,2025-12-03 06:38:07.096663,2025-12-03 07:29:39.332539,0 days 00:51:32.235876,1.087065356230124,0.06853791843549925,-1.1648931817982984,0.05348912433448552,0.2737721058818906,0.5355798794096327,0.7277579024244536,0.02778112299282994,0.4981085850948078,0.9744615004379881,0.4064724374664359,0.0480764392217099,0.4468335845113248,0.12396880887223861,COMPLETE
627,0.7445290199809705,2025-12-03 07:29:39.676672,2025-12-03 08:21:41.215743,0 days 00:52:01.539071,0.6439243354821685,0.1706792219849795,-1.0705781125295761,0.1921410561141914,0.10248511632039653,0.14819648949602857,1.273209261457463,0.07351088262381483,0.5749916630686662,0.9463646324268293,0.45916432880301283,0.08863645935361772,0.5013939742950799,0.08429973989358493,COMPLETE
628,0.7283539486203615,2025-12-03 08:21:41.431338,2025-12-03 09:13:29.907340,0 days 00:51:48.476002,0.5994230208548641,0.12907430653623722,-0.9159056467603056,0.4281117976631354,0.020843349627268054,-0.05656692051501219,1.4189618644898647,0.10235744257205218,0.5940990688155764,0.9358343528017032,0.4634605024136932,0.061736225026252124,0.6798332166379768,0.056972814361157774,COMPLETE
629,0.7274024738344433,2025-12-03 09:13:30.211930,2025-12-03 10:04:56.595766,0 days 00:51:26.383836,0.6692820809487714,0.004949255092940703,-1.068115759008257,0.31399250936316836,0.0902612755661103,0.10963585073943477,1.3179993144075965,0.08423669411203594,0.5765798166900531,0.8953875407112076,0.4340863816343753,0.08192900028689473,0.5161517434261622,0.043097828604082164,COMPLETE
630,0.736441484300666,2025-12-03 10:04:56.859895,2025-12-03 10:56:24.896086,0 days 00:51:28.036191,0.5263849526857498,0.15930561220430525,-0.954443220971826,0.22273462526212687,-0.12816750028656404,0.2550722732509355,1.3131406663649408,0.07326528794637327,0.606787166703251,0.9536313671745432,0.3419468597029818,0.08020362974080887,0.5827520925098547,0.07434904119319169,COMPLETE
631,0.7207421503330161,2025-12-03 10:56:25.297498,2025-12-03 11:47:52.448086,0 days 00:51:27.150588,0.5841045618951458,0.06324400014471727,-1.1389071060954135,0.17038752498659582,-0.0333868924198889,0.38097701466082584,1.3857902982662842,0.13529707740573865,0.5735306475432335,0.9226111495271971,0.38927557232724586,0.0953270495483183,0.5350699579509016,0.0720703995982706,COMPLETE
632,0.7464319695528069,2025-12-03 11:47:52.766075,2025-12-03 12:39:45.674258,0 days 00:51:52.908183,0.6585339574131354,0.2052214431557308,-1.073753482583345,0.11784569336561224,0.10710403068092121,0.17536867834580686,1.3085178095228072,0.09594290656393512,0.6262603083862497,0.9744118406882066,0.2933317097294398,0.04276651465558769,0.49987406743593454,0.012632746506170411,COMPLETE
633,0.48287345385347286,2025-12-03 12:39:45.937344,2025-12-03 13:31:16.631369,0 days 00:51:30.694025,0.5297979529689425,-0.06587532075178698,-1.0675820475228448,-0.03934238369167256,0.09671913541632238,0.3166909969901728,1.4899184449202976,0.252890751601238,0.6639711552514579,0.9844597257036588,0.2849461438168118,0.04326104442413073,0.6175476962549068,0.021457022153867557,COMPLETE
